Quantity,Value,Footprint,Reference
2,LED/YELLOW/0603,LED_0603_KA,"ACT1, CHRG1"
1,DW02S,LIPO_BAT_VERTICAL_DW02S,BAT1
2,IT1185AU2,IT1185AU2_V2,"BUT1, RST1"
8,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,"C1, C6, C7, C9, C10, C13, C19, C22"
1,1nF/2000V/10%/X7R/C1206,C_1206_5MIL_DWS_ISO,C2
1,47uF/6.3V/20%/X5R/C0805,C_0805_5MIL_DWS,C3
6,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,"C8, C11, C14, C15, C16, C18"
2,100nF/100V/10%/X7R/C0603,C_0603_5MIL_DWS,"C12, C24"
1,2.2uF/6.3V/10%/X5R/C0603,C_0603_5MIL_DWS,C17
1,1.0nF/3kV/10%/X7R/SMD/1808(VISHAY-VJ1808Y102KBHAT4X_Farnell-2407291),C_1808(4520)_5MIL_DWS_ISO,C23
1,12pF/50V/5%/COG/C0402,C_0402_5MIL_DWS,C25
1,470uF/10V/20%/Low_ESR/RM2.5/6.0x11mm,CPOL-RM2.5mm_6.3x11mm_PTH,C26
1,15uF/100V/20%/RM2.5/6.3x11mm(Farnell:1281844),CPOL-RM2.5mm_6.3x11mm_PTH,C27
1,1nF/50V/10%/X7R/C0402,C_0402_5MIL_DWS,C28
1,1uF/10V/10%/X5R/C0603,C_0603_5MIL_DWS,C31
6,1N5819S4/SOD123,SOD-123_1C-2A_KA,"D1, D3, D4, D6, D7, D9"
1,BAT54C(SOT23-3),SOT23-3,D2
1,SS510/100V/5A/0.85V/DO214AB(SMC),DO214AB(SMC)_1(K)-2(A),D5
1,SMAJ58A/SMA,SMA-KA,D10
1,F0505S-2WR2(SIP-7),SIP-7_Universal,DCDC1
2,HN1x10,HN1x10,"EXT1, EXT2"
3,WPM2015-3/TR,SOT23,"FET1, FET2, FET3"
3,FB0805/600R/2A,L_0805_5MIL_DWS,"L1, L3, L5"
1,1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00),L_2016_MM,L2
1,33uH/2.1A/DCR=0.1R/20%/DBS135(PD3316MT330),DBS135,L4
1,RJP-003TC1(LPJ4112CNL),RJP-003TC1(LPJ4112CNL),LAN_CON1
1,LED/GREEN/0603,LED_0603_KA,LNK1
1,TFC-9P-1.7H(ATFFS150A01BR016),uSD(TFC-9P-1.xH(ATFFS150A01BR016)),MICRO_SD1
1,LED/RED/0603,LED_0603_KA,PWR1
2,BC817-40(SOT23),SOT23,"Q2, Q3"
11,10k/R0402,R_0402_5MIL_DWS,"R1, R2, R6, R18, R19, R25, R32, R36, R37, R39, R48"
3,1k/R0402,R_0402_5MIL_DWS,"R3, R20, R21"
1,47k/R0402,R_0402_5MIL_DWS,R4
6,2.2k/R0402,R_0402_5MIL_DWS,"R5, R8, R14, R15, R31, R35"
2,470k/R0402,R_0402_5MIL_DWS,"R7, R16"
1,100k/R0402,R_0402_5MIL_DWS,R9
4,49.9R/1%/R0402,R_0402_5MIL_DWS,"R10, R11, R12, R13"
1,24.9k/1%/R0402,R_0402_5MIL_DWS,R22
1,1.27k/1%/62.5mW/R0402,R_0402_5MIL_DWS,R23
3,220R/R0402,R_0402_5MIL_DWS,"R24, R46, R47"
1,12.1k/1%/R0402,R_0402_5MIL_DWS,R26
2,9.1k/1W/R2512,R_2512_MM_DWS,"R27, R41"
1,0.03R/1%/R1206,R_1206_5MIL_DWS,R28
1,220k/R0402,R_0402_5MIL_DWS,R29
1,49.9k/1%/R0402,R_0402_5MIL_DWS,R30
1,4.7R/R0402,R_0402_5MIL_DWS,R33
1,10.5k/1%/R0402,R_0402_5MIL_DWS,R34
1,56.2k/1%/R0402,R_0402_5MIL_DWS,R38
1,10R/R0402,R_0402_5MIL_DWS,R40
1,4.7k/R0402,R_0402_5MIL_DWS,R43
3,RA1206_(4X0603)_4B8_2.2k,R_MATRIX_4,"RM1, RM2, RM3"
1,LMUN2211LT1G(SOT-23),SOT23,T1
1,ESDS314DBVR(SOT-23-5),SOT-23-5,TVS1
1,CH340X(MSOP-10),MSOP-10_Pitch-0.5mm_3.00x3.00x1.00mm,U1
1,TPS2378DDAR(HSOIC-8),ESOIC-8,U2
1,TP4054-42-SOT25-R(SOT23-5),SOT-23-5,U3
1,LAN8710A-EZC(QFN32),QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm,U4
1,TX4138(ESOIC-8),ESOIC-8,U5
1," 	
ESP32-WROOM-32E-N4",ESP32-WROVER_MODULE,U6
1,TPS62A02ADRLR(SOT-563-6),SOT-563-6,U7
1,P-B-V-10-LF,GBH-254-SMT-10,UEXT1
1,MISB-SWMM-5B-LF(USB_MICRO),USB-MICRO_MISB-SWMM-5B_LF,USB-UART1
